order,heading,roll,pitch,ax,ay,az
204,359.75,1.1875,25.5,0.01,-0.01,-0.02
205,359.75,1.1875,25.5,0.0,-0.02,-0.03
206,359.75,1.1875,25.5,0.0,-0.01,-0.07
207,359.75,1.1875,25.5,0.0,-0.01,-0.07
208,359.75,1.1875,25.5,0.01,0.0,-0.01
209,359.75,1.1875,25.5,0.01,0.0,-0.04
210,359.75,1.1875,25.5,0.01,0.0,-0.04
211,359.75,1.1875,25.5,0.0,0.0,-0.03
212,359.75,1.1875,25.5,0.01,-0.01,0.0
213,359.75,1.1875,25.5,0.01,-0.01,-0.04
214,359.75,1.1875,25.5,0.01,-0.01,-0.04
215,359.75,1.1875,25.5,0.01,0.0,-0.06
216,359.75,1.1875,25.5,0.02,-0.01,-0.01
217,359.75,1.1875,25.5,0.02,-0.01,-0.01
218,359.75,1.1875,25.5,0.01,0.0,0.0
219,359.75,1.1875,25.5,0.01,-0.01,-0.01
220,359.75,1.1875,25.5,0.01,-0.01,-0.01
221,359.75,1.1875,25.5,0.02,0.01,-0.04
222,359.75,1.1875,25.5,0.01,0.0,-0.04
223,359.75,1.1875,25.5,0.01,0.0,-0.04
224,359.75,1.1875,25.5,0.01,-0.01,-0.02
225,359.75,1.1875,25.5,0.01,0.0,-0.02
226,359.75,1.1875,25.5,0.01,0.0,-0.01
227,359.75,1.1875,25.5,0.01,0.0,-0.01
228,359.75,1.1875,25.5,0.02,-0.02,-0.04
229,359.75,1.1875,25.5,0.0,-0.01,-0.04
230,359.75,1.1875,25.5,0.0,-0.01,-0.04
231,359.75,1.1875,25.5,0.01,0.0,-0.04
232,359.75,1.1875,25.5,0.01,0.0,-0.04
233,359.75,1.1875,25.5,0.0,0.0,-0.02
234,359.75,1.1875,25.5,0.0,0.0,-0.02
235,359.75,1.1875,25.5,0.01,0.0,-0.01
236,359.75,1.1875,25.5,0.01,0.0,-0.01
237,359.75,1.1875,25.5,0.01,0.0,-0.04
238,359.75,1.1875,25.5,0.01,0.0,-0.03
239,359.75,1.1875,25.5,0.01,0.0,-0.03
240,359.75,1.1875,25.5,0.01,0.0,0.0
241,359.75,1.1875,25.5,0.01,-0.01,-0.02
242,359.75,1.1875,25.5,0.02,-0.01,-0.01
243,359.75,1.1875,25.5,0.02,-0.01,-0.01
244,359.75,1.1875,25.5,0.02,-0.01,-0.06
245,359.75,1.1875,25.5,0.0,-0.01,-0.03
246,359.75,1.1875,25.5,0.0,-0.01,-0.03
247,359.75,1.1875,25.5,0.0,-0.02,-0.01
248,359.75,1.1875,25.5,0.0,0.0,-0.03
249,359.75,1.1875,25.5,0.01,-0.02,-0.03
250,359.75,1.1875,25.5,0.01,-0.02,-0.03
251,359.75,1.1875,25.5,0.01,0.0,-0.04
252,359.75,1.1875,25.5,0.0,-0.01,-0.03
253,359.75,1.1875,25.5,0.0,-0.01,-0.03
254,359.75,1.1875,25.5,0.01,0.0,-0.01
255,359.75,1.1875,25.5,0.0,0.0,-0.02
256,359.75,1.1875,25.5,0.0,0.0,-0.03
257,359.75,1.1875,25.5,0.0,0.0,-0.03
258,359.75,1.1875,25.5,0.02,-0.01,-0.06
259,359.75,1.1875,25.5,0.01,-0.01,-0.05
260,359.75,1.1875,25.5,0.01,-0.01,-0.05
261,359.75,1.1875,25.5,0.0,0.0,-0.04
262,359.75,1.1875,25.5,0.01,0.0,-0.03
263,359.75,1.1875,25.5,0.01,-0.02,-0.01
264,359.75,1.1875,25.5,0.01,-0.02,-0.01
265,359.75,1.1875,25.5,0.01,0.0,-0.05
266,359.75,1.1875,25.5,0.0,0.01,-0.01
267,359.75,1.1875,25.5,0.0,0.01,-0.01
268,359.75,1.1875,25.5,0.01,-0.01,-0.04
269,359.75,1.1875,25.5,0.02,0.0,-0.02
270,359.75,1.1875,25.5,0.01,-0.03,-0.03
271,359.75,1.1875,25.5,0.01,-0.03,-0.03
272,359.75,1.1875,25.5,0.01,-0.02,-0.03
273,359.75,1.1875,25.5,0.0,0.0,-0.05
274,359.75,1.1875,25.5,0.0,-0.01,-0.03
