order,heading,roll,pitch,ax,ay,az
222,2.875,2.9375,-15.375,0.62,0.45,-0.69
223,0.5,2.9375,-15.375,0.25,1.17,-1.78
224,359.375,3.0,-15.375,1.41,-0.01,0.07
225,358.1875,2.9375,-15.3125,-0.12,0.09,-0.29
226,357.0,2.9375,-15.25,1.01,-1.38,0.24
227,355.8125,2.875,-15.1875,1.54,-0.56,-0.4
228,354.625,2.9375,-15.125,0.96,-0.07,-0.3
229,353.4375,2.875,-15.0625,-0.53,-0.36,0.92
230,352.1875,2.8125,-15.0625,0.11,0.06,0.18
231,350.9375,2.8125,-15.0,0.98,0.34,-0.55
232,348.375,2.625,-15.0,0.17,0.09,1.33
233,347.0,2.5,-15.0,0.37,0.03,0.62
234,345.6875,2.5625,-15.0,0.96,0.04,-1.23
235,344.375,2.625,-15.0,0.95,-0.26,0.13
236,343.0625,2.625,-14.9375,-0.27,-0.01,-0.37
237,341.6875,2.6875,-14.875,1.73,0.97,-1.21
238,340.375,2.625,-14.8125,0.09,-0.5,-0.06
239,339.125,2.625,-14.6875,1.16,0.84,0.23
240,337.75,2.5625,-14.625,-1.22,-0.31,0.0
241,335.0625,2.375,-14.4375,-0.68,1.2,1.86
242,333.625,2.5,-14.3125,1.22,-1.41,-1.55
243,332.1875,2.6875,-14.25,0.85,0.89,0.41
244,330.75,2.5625,-14.1875,-2.76,-2.14,2.14
245,329.5625,2.375,-14.3125,0.45,1.08,-1.87
246,328.5,2.25,-14.3125,-2.62,-1.47,3.01
247,327.5625,2.25,-14.25,-0.4,-1.91,-1.37
248,326.625,2.3125,-14.0625,-0.58,1.18,0.8
249,325.75,2.375,-13.9375,-0.21,-0.06,0.76
250,325.0,2.375,-13.75,1.16,0.21,-0.88
251,324.25,2.375,-13.5625,-0.26,-0.52,-0.28
252,323.625,2.3125,-13.5625,-2.04,0.87,1.48
253,322.9375,2.125,-13.5,-1.78,-3.32,-0.92
254,322.3125,2.0625,-13.375,-0.77,-3.23,-0.65
255,321.1875,2.1875,-13.5,0.58,3.78,-0.23
256,320.6875,2.1875,-13.5625,-1.35,-2.18,-0.55
257,320.25,2.1875,-13.5625,-1.49,2.18,1.58
258,319.875,2.3125,-13.4375,0.23,1.08,-0.51
259,319.5,2.4375,-13.3125,1.11,0.9,0.25
260,318.9375,2.5,-13.1875,-0.02,-0.51,-1.1
261,318.625,2.4375,-13.1875,-1.53,-2.11,0.03
262,318.375,2.3125,-13.1875,-1.26,-0.09,0.81
263,318.125,2.25,-13.25,0.02,-1.93,0.46
264,317.875,2.25,-13.25,-1.04,-1.67,0.24
265,317.625,2.1875,-13.3125,-0.62,-1.15,0.51
266,317.4375,2.25,-13.375,-1.27,0.23,0.39
267,317.3125,2.3125,-13.375,0.0,-0.53,0.18
268,317.125,2.375,-13.3125,-0.9,-0.3,0.42
269,317.0,2.5,-13.25,0.78,-0.31,0.05
270,316.875,2.625,-13.1875,1.94,-1.04,-1.49
271,316.75,2.75,-13.125,-1.64,-0.72,2.65
272,316.625,2.5625,-13.125,-0.9,-1.5,0.7
273,316.3125,2.4375,-13.125,-0.34,-2.32,-0.53
274,316.125,2.5,-13.1875,-0.51,-1.11,0.23
275,316.0,2.5,-13.25,-1.19,-1.44,-0.21
276,316.0,2.5625,-13.25,0.64,-1.11,1.2
277,316.0,2.625,-13.125,-0.08,-1.81,-1.46
278,315.9375,2.75,-13.0625,-0.05,-1.68,0.67
279,315.9375,2.8125,-13.0,1.33,-1.85,-1.45
280,315.9375,2.6875,-13.0625,0.18,-1.38,-0.06
281,315.8125,2.5625,-13.1875,-1.96,0.97,3.82
282,315.6875,2.625,-13.25,-1.06,-1.01,0.3
283,315.5625,2.75,-13.375,-1.01,-1.74,-0.51
284,315.5625,2.8125,-13.5,-0.59,-2.93,-1.36
285,315.75,2.8125,-13.5,1.0,9.98,-6.49
286,315.875,2.6875,-13.6875,-0.12,3.37,5.22
287,316.0,2.5,-13.625,-2.12,-7.38,-2.03
288,316.0,2.4375,-13.5625,-0.4,1.51,0.26
289,315.875,2.4375,-13.5,-0.26,-1.07,0.89
290,315.875,2.4375,-13.5,-0.92,-1.49,0.33
291,315.8125,2.625,-13.5,1.25,-0.67,0.86
292,315.8125,2.75,-13.4375,-0.66,-2.11,-2.38
293,315.875,2.8125,-13.4375,2.08,-0.56,-0.28
294,315.9375,2.875,-13.5,2.16,-1.51,-1.0
295,315.9375,2.75,-13.5,-2.5,-1.96,0.88
296,315.8125,2.375,-13.6875,-1.42,-1.83,0.82
297,315.6875,2.5,-13.6875,-0.83,-1.58,-0.21
298,315.6875,2.5625,-13.8125,-0.95,-0.8,-0.68
299,315.8125,2.625,-13.875,1.84,2.05,1.75
300,315.8125,2.6875,-13.875,-1.7,-1.91,1.21
301,315.875,2.75,-13.75,0.77,-0.88,-0.62
302,315.625,2.375,-13.6875,-1.83,-2.04,-0.3
303,315.375,2.6875,-13.75,-0.51,1.15,-1.89
304,315.625,2.5,-13.625,0.58,-1.93,1.14
305,315.8125,2.4375,-13.8125,-2.3,-3.64,0.5
306,315.6875,2.4375,-14.25,1.79,-1.02,-0.16
307,315.8125,2.5,-14.125,1.1,-5.44,-4.41
308,315.8125,2.0625,-14.1875,-1.07,-0.3,1.9
309,315.625,2.0625,-14.25,-1.9,-2.38,0.12
310,315.5625,2.3125,-14.375,-0.4,-1.23,-2.12
311,315.875,2.25,-14.1875,1.82,-0.62,1.05
312,315.625,2.375,-14.25,-1.84,-3.08,0.01
313,315.6875,2.6875,-13.9375,2.39,0.0,-0.05
314,315.75,2.5625,-13.875,-3.72,4.39,9.14
315,315.5625,2.25,-13.9375,-4.28,-5.06,-1.38
316,315.375,2.5,-13.8125,6.69,6.35,0.88
317,314.75,3.5,-13.75,15.38,6.58,-5.65
318,313.25,4.0,-13.75,11.96,3.72,-5.3
